series_id,area_type_code,area_code,measure_code,seasonal,srd_code,series_title,state_code,begin_year,begin_period,end_year,end_period
LASST010000000000003          ,A,ST0100000000000,3,S,1,Unemployment Rate: Alabama (S),AL,1976,M01,2016,M02
LASST020000000000003          ,A,ST0200000000000,3,S,2,Unemployment Rate: Alaska (S),AK,1976,M01,2016,M02
LASST040000000000003          ,A,ST0400000000000,3,S,4,Unemployment Rate: Arizona (S),AZ,1976,M01,2016,M02
LASST050000000000003          ,A,ST0500000000000,3,S,5,Unemployment Rate: Arkansas (S),AR,1976,M01,2016,M02
LASST060000000000003          ,A,ST0600000000000,3,S,6,Unemployment Rate: California (S),CA,1976,M01,2016,M02
LASST080000000000003          ,A,ST0800000000000,3,S,8,Unemployment Rate: Colorado (S),CO,1976,M01,2016,M02
LASST090000000000003          ,A,ST0900000000000,3,S,9,Unemployment Rate: Connecticut (S),CT,1976,M01,2016,M02
LASST100000000000003          ,A,ST1000000000000,3,S,10,Unemployment Rate: Delaware (S),DE,1976,M01,2016,M02
LASST110000000000003          ,A,ST1100000000000,3,S,11,Unemployment Rate: District of Columbia (S),DC,1976,M01,2016,M02
LASST120000000000003          ,A,ST1200000000000,3,S,12,Unemployment Rate: Florida (S),FL,1976,M01,2016,M02
LASST130000000000003          ,A,ST1300000000000,3,S,13,Unemployment Rate: Georgia (S),GA,1976,M01,2016,M02
LASST150000000000003          ,A,ST1500000000000,3,S,15,Unemployment Rate: Hawaii (S),HI,1976,M01,2016,M02
LASST160000000000003          ,A,ST1600000000000,3,S,16,Unemployment Rate: Idaho (S),ID,1976,M01,2016,M02
LASST170000000000003          ,A,ST1700000000000,3,S,17,Unemployment Rate: Illinois (S),IL,1976,M01,2016,M02
LASST180000000000003          ,A,ST1800000000000,3,S,18,Unemployment Rate: Indiana (S),IN,1976,M01,2016,M02
LASST190000000000003          ,A,ST1900000000000,3,S,19,Unemployment Rate: Iowa (S),IA,1976,M01,2016,M02
LASST200000000000003          ,A,ST2000000000000,3,S,20,Unemployment Rate: Kansas (S),KS,1976,M01,2016,M02
LASST210000000000003          ,A,ST2100000000000,3,S,21,Unemployment Rate: Kentucky (S),KY,1976,M01,2016,M02
LASST220000000000003          ,A,ST2200000000000,3,S,22,Unemployment Rate: Louisiana (S),LA,1976,M01,2016,M02
LASST230000000000003          ,A,ST2300000000000,3,S,23,Unemployment Rate: Maine (S),ME,1976,M01,2016,M02
LASST240000000000003          ,A,ST2400000000000,3,S,24,Unemployment Rate: Maryland (S),MD,1976,M01,2016,M02
LASST250000000000003          ,A,ST2500000000000,3,S,25,Unemployment Rate: Massachusetts (S),MA,1976,M01,2016,M02
LASST260000000000003          ,A,ST2600000000000,3,S,26,Unemployment Rate: Michigan (S),MI,1976,M01,2016,M02
LASST270000000000003          ,A,ST2700000000000,3,S,27,Unemployment Rate: Minnesota (S),MN,1976,M01,2016,M02
LASST280000000000003          ,A,ST2800000000000,3,S,28,Unemployment Rate: Mississippi (S),MS,1976,M01,2016,M02
LASST290000000000003          ,A,ST2900000000000,3,S,29,Unemployment Rate: Missouri (S),MO,1976,M01,2016,M02
LASST300000000000003          ,A,ST3000000000000,3,S,30,Unemployment Rate: Montana (S),MT,1976,M01,2016,M02
LASST310000000000003          ,A,ST3100000000000,3,S,31,Unemployment Rate: Nebraska (S),NE,1976,M01,2016,M02
LASST320000000000003          ,A,ST3200000000000,3,S,32,Unemployment Rate: Nevada (S),NV,1976,M01,2016,M02
LASST330000000000003          ,A,ST3300000000000,3,S,33,Unemployment Rate: New Hampshire (S),NH,1976,M01,2016,M02
LASST340000000000003          ,A,ST3400000000000,3,S,34,Unemployment Rate: New Jersey (S),NJ,1976,M01,2016,M02
LASST350000000000003          ,A,ST3500000000000,3,S,35,Unemployment Rate: New Mexico (S),NM,1976,M01,2016,M02
LASST360000000000003          ,A,ST3600000000000,3,S,36,Unemployment Rate: New York (S),NY,1976,M01,2016,M02
LASST370000000000003          ,A,ST3700000000000,3,S,37,Unemployment Rate: North Carolina (S),NC,1976,M01,2016,M02
LASST380000000000003          ,A,ST3800000000000,3,S,38,Unemployment Rate: North Dakota (S),ND,1976,M01,2016,M02
LASST390000000000003          ,A,ST3900000000000,3,S,39,Unemployment Rate: Ohio (S),OH,1976,M01,2016,M02
LASST400000000000003          ,A,ST4000000000000,3,S,40,Unemployment Rate: Oklahoma (S),OK,1976,M01,2016,M02
LASST410000000000003          ,A,ST4100000000000,3,S,41,Unemployment Rate: Oregon (S),OR,1976,M01,2016,M02
LASST420000000000003          ,A,ST4200000000000,3,S,42,Unemployment Rate: Pennsylvania (S),PA,1976,M01,2016,M02
LASST440000000000003          ,A,ST4400000000000,3,S,44,Unemployment Rate: Rhode Island (S),RI,1976,M01,2016,M02
LASST450000000000003          ,A,ST4500000000000,3,S,45,Unemployment Rate: South Carolina (S),SC,1976,M01,2016,M02
LASST460000000000003          ,A,ST4600000000000,3,S,46,Unemployment Rate: South Dakota (S),SD,1976,M01,2016,M02
LASST470000000000003          ,A,ST4700000000000,3,S,47,Unemployment Rate: Tennessee (S),TN,1976,M01,2016,M02
LASST480000000000003          ,A,ST4800000000000,3,S,48,Unemployment Rate: Texas (S),TX,1976,M01,2016,M02
LASST490000000000003          ,A,ST4900000000000,3,S,49,Unemployment Rate: Utah (S),UT,1976,M01,2016,M02
LASST500000000000003          ,A,ST5000000000000,3,S,50,Unemployment Rate: Vermont (S),VT,1976,M01,2016,M02
LASST510000000000003          ,A,ST5100000000000,3,S,51,Unemployment Rate: Virginia (S),VA,1976,M01,2016,M02
LASST530000000000003          ,A,ST5300000000000,3,S,53,Unemployment Rate: Washington (S),WA,1976,M01,2016,M02
LASST540000000000003          ,A,ST5400000000000,3,S,54,Unemployment Rate: West Virginia (S),WV,1976,M01,2016,M02
LASST550000000000003          ,A,ST5500000000000,3,S,55,Unemployment Rate: Wisconsin (S),WI,1976,M01,2016,M02
LASST560000000000003          ,A,ST5600000000000,3,S,56,Unemployment Rate: Wyoming (S),WY,1976,M01,2016,M02
LASST720000000000003          ,A,ST7200000000000,3,S,72,Unemployment Rate: Puerto Rico (S),PR,1976,M01,2016,M02
